CP MC DD OC ER
1 10 0.56 22.21 3,932,000
2 10 0.58 22.21 2,716,000
4 10 0.60 22.21 2,340,000
8 10 0.62 22.21 1,812,000
1 20 0.56 22.21 628,800
2 20 0.58 22.21 444,400
4 20 0.60 22.21 208,800
8 20 0.62 22.21 104,400
1 30 0.56 22.21 69,320
2 30 0.58 22.21 57,760
4 30 0.60 22.21 45,960
8 30 0.62 22.21 40,080
1 40 0.56 22.21 26,760
2 40 0.58 22.21 24,200
4 40 0.60 22.21 22,760
8 40 0.62 22.21 18,000
1 50 0.56 22.21 8,760
2 50 0.58 22.21 7,000
4 50 0.60 22.21 4,360
8 50 0.62 22.21 3,040
1 60 0.56 22.21 1,860
2 60 0.58 22.21 1,776
4 60 0.60 22.21 1,604
8 60 0.62 22.21 1,500
1 70 0.56 22.21 1,164
2 70 0.58 22.21 1,106
4 70 0.60 22.21 1,066
8 70 0.62 22.21 1,028
1 80 0.56 22.21 880
2 80 0.58 22.21 860
4 80 0.60 22.21 848
8 80 0.62 22.21 808
1 90 0.56 22.21 756
2 90 0.58 22.21 748
4 90 0.60 22.21 740
8 90 0.62 22.21 716
1 100 0.56 22.21 690
2 100 0.58 22.21 684
4 100 0.60 22.21 680
8 100 0.62 22.21 668
1 10 0.56 25.58 4,060,000
2 10 0.58 25.58 3,744,000
4 10 0.60 25.58 2,152,000
8 10 0.62 25.58 1,608,000
1 20 0.56 25.58 276,800
2 20 0.58 25.58 266,000
4 20 0.60 25.58 255,600
8 20 0.62 25.58 117,200
1 30 0.56 25.58 56,480
2 30 0.58 25.58 48,520
4 30 0.60 25.58 44,320
8 30 0.62 25.58 39,920
1 40 0.56 25.58 21,960
2 40 0.58 25.58 17,960
4 40 0.60 25.58 15,000
8 40 0.62 25.58 12,560
1 50 0.56 25.58 2,840
2 50 0.58 25.58 2,792
4 50 0.60 25.58 2,604
8 50 0.62 25.58 2,488
1 60 0.56 25.58 1,524
2 60 0.58 25.58 1,508
4 60 0.60 25.58 1,488
8 60 0.62 25.58 1,464
1 70 0.56 25.58 1,056
2 70 0.58 25.58 1,048
4 70 0.60 25.58 1,044
8 70 0.62 25.58 1,036
1 80 0.56 25.58 808
2 80 0.58 25.58 784
4 80 0.60 25.58 752
8 80 0.62 25.58 712
1 90 0.56 25.58 684
2 90 0.58 25.58 680
4 90 0.60 25.58 672
8 90 0.62 25.58 664
1 100 0.56 25.58 644
2 100 0.58 25.58 624
4 100 0.60 25.58 608
8 100 0.62 25.58 580
1 10 0.56 28.87 3,556,000
