contest,domain,problem,plan,initial_actions,initial_cost,variables,operators,a_variable,a_cluster,sd_flex,sd_time,bsd1_flex,bsd1_cost,bsd1_time,bd_flex,bd_time,t_bsd2_flex,t_bsd2_time,mr_props,mr_clauses,t_mr_flex,t_mr_time,mrr_props,mrr_clauses,t_mrr_flex,t_mrr_time
ipc1,grid-round-2,instance-1,sas_plan.1,16,16,19,2386,0,0,0,0.024,0,14,0.032,0,0.04,0,0.048,337,3056,0,0.805, , , , 
ipc1,grid-round-2,instance-2,sas_plan.1,34,34,20,4142,0,0,0.002016,0.059972,0.002016,32,0.183962,0.002016,0.223952,0.002016,0.355932,1355,36839,0.002,1.55, , , , 
ipc1,grid-round-2,instance-2,sas_plan.2,29,29,20,4142,0,0,0.002849,0.056004,0.002849,27,0.127981,0.002849,0.151985,0.002849,0.227968,994,22662,0.003,1.403,19390,556461,0.006,1799.928
ipc1,grid-round-2,instance-2,sas_plan.3,28,28,20,4142,0,0,0,0.053247,0,26,0.111739,0,0.131717,0,0.191378,927,20353,0,1.524,18466,525871,0.003,1799.145
ipc1,grid-round-2,instance-3,sas_plan.1,77,77,23,6718,0,0,0,0.271992,0,75,6.599899,0,7.543887,0,13.883698,7419,444904,0,1799.434, , , , 
ipc1,grid-round-2,instance-3,sas_plan.2,64,64,23,6718,0,0,0,0.191989,0,62,3.00789,0,3.499828,0,6.323596,5401,255189,0,784.222, , , , 
ipc1,grid-round-2,instance-3,sas_plan.3,60,60,23,6718,0,0,0,0.16398,0,58,2.647323,0,3.031112,0,5.534696,4813,210180,0,128.237, , , , 
ipc1,grid-round-2,instance-3,sas_plan.4,56,56,23,6718,0,0,0,0.147984,0,54,1.711912,0.251572,2.095902,0.251572,2.552877,3945,169625,0,33.716, , , , 
ipc1,grid-round-2,instance-4,sas_plan.1,51,51,22,10384,0,0,0,0.159975,0,49,0.867894,0,0.999893,0,1.707849,2972,126627,0,3.881, , , , 
ipc1,grid-round-2,instance-4,sas_plan.2,42,42,22,10384,0,0,0,0.135386,0,40,0.410302,0,0.478303,0,0.746224,1973,69917,0,2.03, , , , 
ipc1,grid-round-2,instance-4,sas_plan.3,40,40,22,10384,0,0,0,0.127999,0,38,0.324342,0,0.375405,0,0.575397,1778,60190,0,1.987, , , , 
ipc1,grid-round-2,instance-4,sas_plan.4,38,38,22,10384,0,0,0,0.127987,0,36,0.299972,0,0.347971,0,0.515971,1642,51584,0,2.123, , , , 
ipc1,grid-round-2,instance-5,sas_plan.1,169,169,35,15188,0,0,0,2.646495,0,167,211.532769,0.002814,232.42457,0.002814,305.676504, , , , , , , , 
ipc1,grid-round-2,instance-5,sas_plan.2,140,140,35,15188,0,0,0,1.491759,0,138,93.959875,0.001375,101.999144,0.001375,155.140932,23718,2701825,0,1799.575, , , , 
ipc1,grid-round-2,instance-5,sas_plan.3,137,137,35,15188,0,0,0,1.482748,0,135,86.252509,0.000442,92.859479,0.000442,174.720783,20903,2524002,0,1799.507, , , , 
ipc1,gripper-round-1,instance-1,sas_plan.1,13,13,7,36,1,1,0.072727,0.003003,0.072727,11,0.007909,0.072727,0.016006,0.072727,0.021477,260,2119,0.073,0.932,1192,11316,0.073,1.862
ipc1,gripper-round-1,instance-10,sas_plan.1,67,67,25,180,1,1,0.010577,0.193854,0.010577,65,16.817717,0.789423,18.593571,0.789423,19.213198, , , , , , , , 
ipc1,gripper-round-1,instance-11,sas_plan.1,73,73,27,196,1,1,0.009658,0.255659,0.009658,71,26.88595,0.806439,29.608035,0.806439,30.439575,19570,428439,0.01,1799.964, , , , 
ipc1,gripper-round-1,instance-12,sas_plan.1,79,79,29,212,1,1,0.008886,0.335993,0.008886,77,41.404281,0.820916,44.959994,0.820916,46.023798,24295,544639,0.009,1800.915, , , , 
ipc1,gripper-round-1,instance-13,sas_plan.1,85,85,31,228,1,1,0.008228,0.443973,0.008228,83,62.496992,0.833382,67.619756,0.833382,68.995162,29720,680167,0.008,1799.99, , , , 
ipc1,gripper-round-1,instance-14,sas_plan.1,91,91,33,244,1,1,0.007661,0.555216,0.007661,89,91.310648,0.844229,97.870493,0.844229,99.604746,35893,836511,0.008,1799.162, , , , 
ipc1,gripper-round-1,instance-15,sas_plan.1,97,97,35,260,1,1,0.007167,0.703366,0.007167,95,129.577354,0.853751,138.649193,0.853751,140.836662,42862,1015159,0.007,1799.314, , , , 
ipc1,gripper-round-1,instance-16,sas_plan.1,103,103,37,276,1,1,0.006733,0.895541,0.006733,101,181.756056,0.862178,193.043867,0.862178,195.752374,50675,1217599,0.007,1799.264, , , , 
ipc1,gripper-round-1,instance-17,sas_plan.1,109,109,39,292,1,1,0.006348,1.082722,0.006348,107,248.204609,0.869688,263.311657,0.869688,266.631981,59380,1445319,0.006,1800.029, , , , 
ipc1,gripper-round-1,instance-18,sas_plan.1,115,115,41,308,1,1,0.006005,1.323544,0.006005,113,335.607587,0.876422,354.347429,0.876422,358.409559,69025,1699807,0.006,1800.15, , , , 
ipc1,gripper-round-1,instance-19,sas_plan.1,121,121,43,324,1,1,0.005697,1.604885,0.005697,119,445.09065,0.882495,469.28132,0.882495,474.1597, , , , , , , , 
ipc1,gripper-round-1,instance-2,sas_plan.1,19,19,9,52,1,1,0.044118,0.002492,0.044118,17,0.029814,0.308824,0.043973,0.308824,0.061338,625,6879,0.044,1.171, , , , 
ipc1,gripper-round-1,instance-20,sas_plan.1,127,127,45,340,1,1,0.005419,1.955005,0.005419,125,609.048097,0.888,639.259746,0.888,645.454522,91327,2295039,0.005,1800.129, , , , 
ipc1,gripper-round-1,instance-3,sas_plan.1,25,25,11,68,1,1,0.031621,0.010663,0.031621,23,0.10739,0.458498,0.165833,0.458498,0.196705,1210,16087,0.032,29.339,6662,74574,0.032,1799.934
ipc1,gripper-round-1,instance-4,sas_plan.1,31,31,13,84,1,1,0.024631,0.017755,0.024631,29,0.283844,0.55665,0.372889,0.55665,0.427668,2063,31231,0.025,1799.868,12079,140301,0.025,1799.275
ipc1,gripper-round-1,instance-5,sas_plan.1,37,37,15,100,1,1,0.020168,0.025757,0.020168,35,0.685639,0.62521,0.880877,0.62521,0.97256,3232,53799,0.02,1799.191, , , , 
ipc1,gripper-round-1,instance-6,sas_plan.1,43,43,17,116,1,1,0.017073,0.042069,0.017073,41,1.477798,0.67561,1.781619,0.67561,1.925465,4765,85279,0.017,1799.028, , , , 
ipc1,gripper-round-1,instance-7,sas_plan.1,49,49,19,132,1,1,0.014801,0.065425,0.014801,47,2.996308,0.714154,3.547828,0.714154,3.767565,6710,127159,0.015,1799.354, , , , 
ipc1,gripper-round-1,instance-8,sas_plan.1,55,55,21,148,1,1,0.013062,0.095962,0.013062,53,5.571524,0.744557,6.347494,0.744557,6.659364,9115,180927,0.013,1799.773, , , , 
ipc1,gripper-round-1,instance-9,sas_plan.1,61,61,23,164,1,1,0.011689,0.139869,0.011689,59,9.867276,0.769141,11.187206,0.769141,11.63467,12028,248071,0.012,1799.143, , , , 
ipc1,logistics-round-1,instance-1,sas_plan.1,29,29,14,362,8,2,0.282051,0.014247,0.282051,27,0.070079,0.307692,0.114079,0.307692,0.211521,975,22602,0.291,0.727,30869,508764,0.598,1799.289
ipc1,logistics-round-1,instance-1,sas_plan.2,28,28,14,362,8,2,0.295385,0.011998,0.295385,26,0.067893,0.295385,0.087892,0.295385,0.147766,896,20249,0.295,0.749,28088,471537,0.388,1799.184
ipc1,logistics-round-1,instance-10,sas_plan.1,115,115,44,6764,27,2,0.710967,0.640022,0.710967,113,5.23287,0.753635,16.189156,0.753635,42.799074,13788,1433785,0.716,14.358, , , , 
ipc1,logistics-round-1,instance-11,sas_plan.1,33,33,36,1514,28,1,0.449462,0.027989,0.449462,31,0.139215,0.449462,0.183179,0.449462,0.297797,1208,31513,0.523,1.55,69928,1216327,0.796,1799.465
ipc1,logistics-round-1,instance-11,sas_plan.2,32,32,36,1514,28,1,0.655172,0.028001,0.655172,30,0.103574,0.655172,0.127413,0.655172,0.212064,1026,23338,0.655,1.416,64781,1147355,0.655,1799.371
ipc1,logistics-round-1,instance-12,sas_plan.1,43,43,69,11610,64,2,0.758537,0.123989,0.758537,41,0.38414,0.759756,0.504128,0.759756,1.669378,1945,68173,0.759,1.924, , , , 
ipc1,logistics-round-1,instance-13,sas_plan.1,79,79,46,13690,38,2,0.684894,0.296006,0.684894,77,1.61632,0.722146,3.76831,0.722146,21.391226,5994,356321,0.686,6.466, , , , 
ipc1,logistics-round-1,instance-13,sas_plan.2,78,78,46,13690,38,2,0.689474,0.283998,0.689474,76,1.377125,0.689474,1.913084,0.689474,3.046455,5744,341140,0.689,4.603, , , , 
ipc1,logistics-round-1,instance-13,sas_plan.3,76,76,46,13690,38,2,0.704184,0.271952,0.704184,74,1.248432,0.704184,1.580436,0.704184,2.661547,5340,312374,0.704,3.308, , , , 
